BikeiD,SumMinutes
26151,196
26152,430
26153,154
26155,482
26156,446
26157,434
26158,181
26159,250
26160,478
26161,409
26162,366
26163,262
26164,256
26165,345
26166,21
26167,168
26170,500
26171,376
26172,62
26173,541
26174,454
26175,457
26177,404
26178,309
26179,630
26180,547
26181,306
26182,245
26184,276
26186,253
26188,225
26189,386
26190,246
26191,280
26192,139
26193,417
26194,501
26195,309
26196,321
26198,404
26200,265
26202,205
26203,322
26204,337
26205,243
26206,237
26207,227
26209,129
26210,382
26211,228
26212,397
26213,414
26214,339
26215,283
26216,288
26217,489
26219,552
26220,274
26221,374
26223,389
26224,358
26225,412
26226,318
26227,620
26228,431
26230,638
26232,517
26233,704
26234,374
26235,521
26236,403
26237,309
26238,496
26239,74
26240,127
26243,406
26244,120
26245,287
26247,319
26248,351
26250,363
26251,387
26252,161
26253,442
26254,376
26255,76
26256,195
26257,269
26258,469
26260,398
26261,424
26262,280
26263,391
26264,143
26265,403
26266,411
26267,333
26268,238
26269,352
26270,319
26271,403
26272,377
26274,368
26275,22
26276,88
26277,345
26278,234
26279,197
26280,363
26281,455
26283,402
26284,266
26285,318
26286,566
26287,283
26288,376
26289,444
26290,378
26291,429
26292,159
26293,310
26294,264
26295,243
26296,287
26297,408
26298,543
26299,355
26300,282
26301,412
26302,112
26303,372
26304,466
26305,367
26306,504
26307,300
26308,411
26309,303
26310,227
26311,336
26314,332
26316,184
26317,370
26318,334
26431,488
29120,455
29121,487
29122,390
29123,270
29125,421
29126,437
29197,135
29198,376
29199,433
29200,345
29201,533
29202,220
29204,256
29205,343
29206,442
29207,365
29208,286
29209,384
29210,468
29211,426
29212,237
29213,323
29214,135
29217,276
29218,121
29219,347
29220,517
29221,508
29222,407
29223,459
29224,247
29225,355
29226,608
29227,250
29228,500
29229,520
29230,471
29231,421
29232,329
29233,513
29234,377
29235,528
29236,310
29238,380
29239,337
29240,387
29241,376
29242,365
29243,440
29245,307
29246,470
29247,421
29248,631
29249,492
29250,293
29251,457
29253,369
29254,232
29255,557
29256,453
29257,204
29258,326
29259,362
29260,429
29261,572
29262,531
29263,891
29264,329
29265,277
29266,316
29267,431
29268,368
29269,221
29270,425
29272,249
29273,162
29274,285
29275,237
29276,296
29277,286
29278,213
29279,449
29280,520
29281,390
29282,504
29283,477
29284,501
29286,490
29287,560
29289,491
29290,305
29291,429
29293,356
29294,272
29295,298
29296,336
29297,578
29298,462
29299,244
29300,386
29301,226
29302,504
29303,319
29305,308
29306,259
29307,418
29308,495
29434,144
29435,438
29437,278
29438,188
29439,354
29440,440
29441,318
29444,394
29445,393
29446,419
29447,488
29448,466
29449,306
29450,471
29451,481
29452,421
29453,210
29454,383
29455,496
29456,535
29457,293
29458,332
29459,331
29460,428
29461,346
29462,492
29463,367
29465,395
29466,297
29467,304
29468,306
29469,423
29470,542
29471,274
29472,538
29473,262
29474,361
29475,429
29476,316
29477,356
29479,303
29480,356
29481,273
29482,410
29483,440
29484,219
29485,282
29486,639
29487,245
29488,469
29489,498
29490,364
29491,246
29492,559
29494,406
29495,402
29496,469
29497,391
29498,437
29499,217
29500,472
29502,570
29503,392
29504,578
29505,483
29506,339
29507,294
29508,598
29509,464
29510,444
29511,543
29512,357
29513,392
29514,418
29515,457
29516,393
29517,327
29518,53
29519,579
29520,487
29521,424
29522,369
29523,479
29524,481
29525,323
29526,760
29527,338
29529,361
29530,23
29531,346
29532,317
29533,451
29534,296
29535,152
29536,176
29537,421
29538,592
29539,479
29540,532
29541,658
29542,226
29544,373
29545,280
29546,72
29547,368
29548,291
29549,418
29550,473
29551,471
29552,212
29553,499
29554,426
29555,250
29556,539
29569,145
29570,140
29571,505
29572,645
29573,575
29575,247
29576,471
29577,457
29578,529
29580,414
29581,250
